id,x,y,z,dx,dy,dz,cx,cy,cz
6,4.187005768508881,16.748023074035522,0.0,-1.0,-0.0,-0.0,-1.5,-0.0,-0.0
7,12.561017305526642,16.748023074035522,0.0,-1.0,-0.0,-0.0,-1.5,-0.0,-0.0
8,20.935028842544405,16.748023074035522,0.0,-1.0,-0.0,-0.0,-1.5,-0.0,-0.0
13,8.374011537017761,12.561017305526642,0.0,-6.123233995736766e-17,-1.0,-0.0,-9.184850993605148e-17,-1.5,-0.0
14,16.748023074035522,12.561017305526642,0.0,-6.123233995736766e-17,-1.0,-0.0,-9.184850993605148e-17,-1.5,-0.0
16,8.374011537017761,20.935028842544405,0.0,6.123233995736766e-17,1.0,0.0,9.184850993605148e-17,1.5,0.0
17,16.748023074035522,20.935028842544405,0.0,6.123233995736766e-17,1.0,0.0,9.184850993605148e-17,1.5,0.0
